مطمان                          مطمئن
الانبیاا                      الانبیاء
الکباار                      الکبائر
فجااز                          فجائز
سیاات                          سیائت
نساا                            نساء
فااق                            فائق
انشاا                          انشاء
املاا                            املاء
مبتلاا                          مبتلاء
ابواا                          ابواء
علماا                          علماء
بلاا                              بلاء
طرااف‌الحکم                طرائف‌الحکم
النساا                        النساء
ایماا                          ایماء
ارضاا‌کنندث                 ارضاکننده
ارضاا                          ارضاء
ایستاا                        ایستاء
انحناا                        انحناء
ثاابی                          ثائبی
غشاا                            غشاء
قابل‌اتکاا                  قابل‌اتکاء
خاانی                          خائنی
براات                          برائت
الاخطاا                        الاخطاء
نااوم                          نائوم
ماکااو                        ماکائو
یااسگی                        یائسگی
یااسه                          یائسه
کاانات                        کائنات
حااری                          حائری
بیااو                          بیائو
گااو                            گائو
غااله                          غائله
الاوصیاا                      الاوصیاء
اقتضاا                        اقتضاء
جاار                            جائر
خلفاا                          خلفاء
خاان                            خائن
اداا                            اداء
داار                            دائر
جرااد                          جرائد
فحشاا                          فحشاء
قدباا                          قدباء
اصفیاا                        اصفیاء
شعراا                          شعراء
ادباا                          ادباء
حتمی‌الاجراا                حتمی‌الاجراء
برااث                          برائث
ایذاا                          ایذاء
فاازه                          فائزه
بالوفاا                      بالوفاء
قاادی                          قائدی
زااوترسان                  زائوترسان
اتکاا                          اتکاء
سان‌پااولو                  سان‌پائولو
شرکاا                          شرکاء
قباال                          قبائل
جاا                              جاء
ابتلااات                      ابتلائات
ملک‌الشعراا                ملک‌الشعراء
اغنیاا                        اغنیاء
خاتم‌الانبیاا              خاتم‌الانبیاء
قضاا                            قضاء
جفاا                            جفاء
فااقه                          فائقه
پااو                            پائو
احصاا                          احصاء
آباا                            آباء
کربلاا                          کربلاء
استعفاا                      استعفاء
دااره‌المعارف            دائره‌المعارف
داارث‌المعارف            دائره‌المعارف
وزراا                          وزراء
کیم‌دااه‌جونگ              کیم‌دائه‌جونگ
مااو                            مائو
پااولا                          پائولا
شیااوپینگ                  شیائوپینگ
لیااولو                      لیائولو
عااله‌ای                      عائله‌ای
اعتلاا                           اعتلاء
خصاال                          خصائل
لااوس                            لائوس
سااوپاولو                  سائوپاولو
فااو                            فائو
امحاا                          امحاء
نااب                            نائب
اطفاا                          اطفاء
فقهاا                          فقهاء
پاالو                          پائلو
خاانین                        خائنین
ایکااو                        ایکائو
یورکااف                      یورکائف
بکن‌باار                      بکن‌بائر
کاکااو                        کاکائو
افتراا                        افتراء
قااد                            قائد
ابتداا                        ابتداء
خاانانه                      خائنانه
سلااق                            سلائق
برااتی                        برائتی
دقااق                          دقائق
باار                            بائر
عااله                          عائله
رجاا                            رجاء
نظاار                          نظائر
استقراا                      استقراء
فضاال                          فضائل
طااب                            طائب
اقتضااات                    اقتضائات
انقضاا                        انقضاء
ملاا                              ملاء
بیسااو                        بیسائو
محیاا                          محیاء
عشاا                            عشاء
الشفاا                        الشفاء
فااده                          فائده
فرااض                          فرائض
عجااب                          عجائب
اای                              ائی
